Район;Сокращенное наименование;Наименование;Руководитель;Адрес местонахождения;Телефон;Режим работы;ИНН;ОГРН;Количество мест;Электронный адрес;Сайт;Наличие филиала;Наличие ЕМТС;Факс;Юридический адрес;Источник данных;Подведомственно;Метро;Прочее;МО
"Калининский";"Библиотека  Калининского района, филиал №1";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Калининского района", филиал №1";"Крылова Светлана Ильинична";"195221, г.Санкт-Петербург, Пискаревский проспект, дом 10, литер А";"540-21-84";"13.00-20.00, вс 11.00-18.00, сб - выходной";"7804030181";"1027802518358";"50";"";"";"Филиал";"";"";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"";"Централизованная библиотечная система Калининского района";"";"";"муниципальный округ №20"
"Выборгский";"Библиотека Выборгского района, филиал №4";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Выборгского района", филиал №4";"Каправчук Елена Вячеславовна";"194292, г.Санкт-Петербург, улица Руднева, дом 25, литер А";"558-19-19";"С12-19, суббота 11-18, воскресенье 11-17, пятница – выходной";"7802207443";"1037804023278";"";"";"http://www.cbs-vib.ru/libraries/";"Филиал";"";"";"194156, г.Санкт-Петербург, проспект Энгельса, дом 13/2, литер Л";"";"Централизованная библиотечная система Выборгского района";"";"";"муниципальный округ №15"
"Выборгский";"Библиотека Выборгского района, филиал №6";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Выборгского района", филиал №6";"Бережнова Людмила Анатольевна";"194901, Санкт-Петербург, поселок Левашово, Железнодорожная улица, дом 46, литер А";"594-96-27, 550-00-67";"С 11-19, суббота и воскресенье 12-17, понедельник – выходной";"7802207443";"1037804023278";"";"";"http://www.cbs-vib.ru/libraries/";"Филиал";"";"";"194156, г.Санкт-Петербург, проспект Энгельса, дом 13/2, литер Л";"";"Централизованная библиотечная система Выборгского района";"";"";"поселок Левашово"
"Колпинский";"Библиотека Колпинского района, филиал №2";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Колпинского административного района Санкт-Петербурга", филиал № 2";"Калинкина Мария Викторовна";"189630, Санкт-Петербург, город Колпино, Загородная улица, дом 55, литер А";"461 21 50";"";"7817016593";"1027808760660";"";"";"";"Филиал";"Проект 2008";"";"196653, Санкт-Петербург, город Колпино, улица Веры Слуцкой, дом 32, литер А";"";"Централизованная библиотечная система Колпинского административного района";"";"";"город Колпино"
"Колпинский";"Библиотека Колпинского района, филиал № 3";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Колпинского административного района Санкт-Петербурга", филиал № 3";"Калинкина Мария Викторовна";"Санкт-Петербург, поселок Саперный, Дорожная улица, дом 1";"462 16 00";"";"7817016593";"1027808760660";"";"";"";"Филиал";"Проект 2008";"";"196653, Санкт-Петербург, город Колпино, улица Веры Слуцкой, дом 32, литер А";"";"Централизованная библиотечная система Колпинского административного района";"";"";"поселок Саперный"
"Колпинский";"Библиотека Колпинского района, филиал № 6";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Колпинского административного района Санкт-Петербурга", филиал № 6";"Калинкина Мария Викторовна";"Санкт-Петербург, город Колпино, Тверская улица, дом 62, литер А";"463 88 13";"";"7817016593";"1027808760660";"";"";"";"Филиал";"";"";"196653, Санкт-Петербург, город Колпино, улица Веры Слуцкой, дом 32, литер А";"";"Централизованная библиотечная система Колпинского административного района";"";"";"город Колпино"
"Колпинский";"Библиотека Колпинского района, филиал № 7";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Колпинского административного района Санкт-Петербурга", филиал № 7";"Калинкина Мария Викторовна";"189631, Санкт-Петербург, поселок Металлострой, Центральная улица, дом 14, литер А";"464-55-14, 469-50-90";"";"7817016593";"1027808760660";"";"";"";"Филиал";"Проект 2008";"";"196653, Санкт-Петербург, город Колпино, улица Веры Слуцкой, дом 32, литер А";"";"Централизованная библиотечная система Колпинского административного района";"";"";"поселок Металлострой"
"Центральный";"Детская библиотека им.А.С.Пушкина, филиал №1";"Центральная городская детская библиотека им.А.С.Пушкина, филиал №1";"Секретарева Людмила Григорьевна";"191014, г.Санкт-Петербург, улица Маяковского, дом 27, литер А";"272-65-47, 273-05-31";"11.00-18.00, среда: 14.00-18.00. Выходной - воскресенье";"7826740876";"1037851029281";"";"";"http://www.pushkinlib.spb.ru/branch.html";"Филиал";"";"";"190000, г.Санкт-Петербург, Большая Морская улица, 33";"";"Центральная городская детская библиотека им.А.С.Пушкина";"Чернышевская, Маяковская"";"";"муниципальное образование Литейный округ"
"Центральный";"Детская библиотека им.А.С.Пушкина, филиал №3";"Центральная городская детская библиотека им.А.С.Пушкина, филиал №3";"Секретарева Людмила Григорьевна";"193036, г.Санкт-Петербург, 3-я Советская улица, дом 8, литер А";"275-53-10, 275-59-09";"11.00-18.00, выходной: воскресенье. Последний рабочий день месяца - санитарный";"7826740876";"1037851029281";"";"";"http://www.pushkinlib.spb.ru/";"Филиал";"";"";"190000, г.Санкт-Петербург, Большая Морская улица, 33";"";"Центральная городская детская библиотека им.А.С.Пушкина";"Площадь Восстания";"";"муниципальное образование Смольнинское"
"Центральный";"Библиотека Блока";"Библиотека Блока, филиал СПб ГУ  "Центральная городская публичная библиотека имени В.В.Маяковского"";"Чалова Зоя Васильевна";"191186, г.Санкт-Петербург, Невский проспект, дом 20, литера А, помещение №4H, 5H";"571-08-56";"";"7825343925";"1037843003912";"";"office@pl.spb.ru";"";"Филиал";"";"571-22-47";"191025, г.Санкт-Петербург, набережная реки Фонтанки, дом 46, литера Б,";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальное образование Дворцовый округ"
"Фрунзенский";"Библиотека Фрунзенского района, филиал №8";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Фрунзенского района", филиал №8";"Виноградова  Наталья  Владимировна";"192284, г.Санкт-Петербург, Загребский бульвар, дом 21, литер А";"772-93-77";"11.00-19.00, сб 11.00-18.00, вс - выходной, последний день месяца - санитарный";"7816010920";"1027807982773";"";"";"";"Филиал";"";"";"192071, г.Санкт-Петербург, улица Турку, дом 11, корпус 1, литер А";"";"Централизованная библиотечная система Фрунзенского района";"Купчино";"";"муниципальный округ Георгиевский"
"Курортный";"Детская библиотека  г.Зеленогорска, филиал № 6";"Централизованная библиотечная система Курортного административного района. Детская библиотека  г.Зеленогорска, филиал № 6";"Аксёнова Ольга Ивановна";"189810, Санкт-Петербург, город Зеленогорск, проспект Ленина, дом 12, литер А";"433-40-51";"Вторник-пятница: с 11 до 18. Выходные дни: воскресенье, понедельник.";"7843001160";"1047847001762";"";"zdbf6@mail.ru";"http://www.cbs-kurort.ru/departments";"Филиал";"";"";"189640, Санкт-Петербург, город Сестрорецк, улица Токарева, дом 7, литер А";"";"Централизованная библиотечная система Курортного административного района";"";"";"город Зеленогорск"
"Курортный";"Центральная библиотека Курортного АР";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Курортного административного района"";"Минаева Людмила Михайловна";"189640, Санкт-Петербург, город Сестрорецк, улица Токарева, дом 7, литер А";"434-65-41";"Понедельник — четверг:c 12 до 19. Суббота, воскресенье: c 12 до 18. Выходной день: пятница.";"7843001160";"1047847001762";"";"";"http://www.cbs-kurort.ru/departments";"Основное, есть филиал";"";"434-71-57";"189640, Санкт-Петербург, город Сестрорецк, улица Токарева, дом 7, литер А";"";"Централизованная библиотечная система Курортного административного района";"";"";"город Сестрорецк"
"Курортный";"Центральная детская библиотека Курортного АР";"Централизованная библиотечная система Курортного административного района. Центральная детская библиотека";"Григорьева Ирина Борисовна";"189640, Санкт-Петербург, город Сестрорецк, улица Токарева, дом 10, литер А";"433-31-72";"понедельник — суббота: с 11.00 до 18.00, суббота: с 11.00 до 17.00. Выходной день: воскресенье";"7843001160";"1047847001762";"";"";"http://www.cbs-kurort.ru/departments";"Филиал";"";"";"189640, Санкт-Петербург, город Сестрорецк, улица Токарева, дом 7, литер А";"";"Централизованная библиотечная система Курортного административного района";"";"";"город Сестрорецк"
"Курортный";"Библиотека семейного чтения «Колокольчик», филиал № 8";"Централизованная библиотечная система Курортного административного района. Библиотека семейного чтения «Колокольчик», филиал № 8";"Савельева Оксана Юрьевна";"18964, Санкт-Петербург, город Сестрорецк, Приморское шоссе, дом 282, литер А";"437-25-62";"";"7843001160";"1047847001762";"";"colocolf8@mail.ru";"http://www.cbs-kurort.ru/departments";"Филиал";"Есть";"";"189640, Санкт-Петербург, город Сестрорецк, улица Токарева, дом 7, литер А";"";"Централизованная библиотечная система Курортного административного района";"";"";"город Сестрорецк"
"Калининский";"Библиотека Калининского района, филиал № 6";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Калининского района", филиал № 6";"Крылова Светлана Ильинична";"195274, г.Санкт-Петербург, проспект Культуры, дом 21, корпус 1, литер А";"558-96-21";"";"7804030181";"1027802518358";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"";"Централизованная библиотечная система Калининского района";"";"";"муниципальное образование Северный"
"Красногвардейский";"Библиотека «Ржевская»";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Красногвардейского района". Библиотека «Ржевская»";"Чудакова Ирина Викторовна, тел.: 527-30-96";"195279, г.Санкт-Петербург, Индустриальный проспект, дом 35, корпус 1, литер А";"527-32-71";"Понед. - пятница с 10 до 20 час. Суббота-выходной, воскресенье-с 10 до 17 час.";"7806115232";"1027804196694";"";"";"http://www.kr-cbs.ru/";"Филиал";"Есть";"";"195027, г.Санкт-Петербург, Среднеохтинский проспект, дом 8, литер А";"";"Централизованная библиотечная система Красногвардейского района";"";"";"муниципальный округ №35 (Пороховые)"
"Адмиралтейский";"Библиотека им. А.С.Грибоедова, филиал № 5";"Санкт-Петербургское Государственное учреждение культуры "Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова". Библиотека им. А.С. Грибоедова, филиал №5)";"Серейчик Сергей Станиславович";"190031, г.Санкт-Петербург, Гороховая улица, дом 41, литер А (Садовая ул., 33)";"310-94-39, 310-82-20";"Понедельник – четверг: 12.00 – 19.00. Пятница - выходной день. Суббота, воскресенье: 11.00-18.00";"7825132699";"1037843110832";"";"";"http://www.lplib.ru/about/putevod/5/";"Филиал";"Проект 2008";"";"191028, г.Санкт-Петербург, Литейный проспект, дом 17-19, литер А";"";"Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова";"";"";"муниципальное образование Сенной округ"
"Петродворцовый";"Районная детская библиотека Петродворцового района";"Районная детская библиотека. Централизованная библиотечная система Петродворцового района Санкт-Петербурга";"Левченко Светлана Тимофеевна";"198903, Санкт-Петербург, город Петродворец, Санкт-Петербургский проспект, дом 6а, литер А";"450-62-15";"";"7819303995";"1067847224807";"";"rdb@pgf.libs.spb.ru";"http://www.peterhof-biblioteka.ru/library/";"Филиал";"";"";"Санкт-Петербург, Петергоф г, Эрлеровский б-р, д. 18";"";"Централизованная библиотечная система Петродворцового района";"";"";"город Петродворец"
"Невский";"Библиотека  им.Н.Рубцова, филиал №5";"Санкт-Петербургское государственное учреждение культуры "Невская централизованная библиотечная система". Библиотека  им.Н.Рубцова, филиал №5";"Огнева Лилия Михайловна";"193232, г.Санкт-Петербург, улица Шотмана, дом 7, корпус 1, литер З";"585-88-79";"12.00-19.00, сб, вс 11.00-18.00, последний чт месяца - санитарный";"7811005690";"1027806077617";"";"";"";"Филиал";"";"";"193174, г.Санкт-Петербург, улица Бабушкина, дом 64, литер А";"";"Невская централизованная библиотечная система";"Улица Дыбенко";"";"муниципальный округ №54"
"Адмиралтейский";"Библиотека-музей "Старая Коломна", филиал № 8";"Санкт-Петербургское Государственное учреждение культуры "Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова". Библиотека-музей "Старая Коломна", филиал №8)";"Серейчик Сергей Станиславович";"190000, г.Санкт-Петербург, набережная канала Грибоедова, дом 168, литер А";"714-25-43, 714-74-86";"Понедельник – пятница – 12.00 – 19.00. Суббота – 11.00-18.00. Воскресенье - выходной день";"7825132699";"1037843110832";"";"";"http://www.lplib.ru/about/putevod/8/";"Филиал";"";"";"191028, г.Санкт-Петербург, Литейный проспект, дом 17-19, литер А";"";"Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова";"";"";"муниципальное образование Коломна"
"Василеостровский";"Центральная библиотека Василеостровского района";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Василеостровского района"";"Семевская Галина Дмитриевна (Марина Алексеевна Богомолова  )";"199155, г.Санкт-Петербург, Морская набережная, дом 17, литер Д";"352-7329, 352-06-17";"Понедельник – Четверг,11.00 - 19.00. Воскресенье-11-18. Выходные дни - Пятница, Суббота";"7801031500";"1037800059560";"";"";"";"Основное, есть филиал";"";"351-1739";"199155, г.Санкт-Петербург, Морская набережная, дом 17, литер Д";"";"Территориальное управление Василеостровского административного района";"Приморская";"";"муниципальное образование округ Морской"
"Василеостровский";"Библиотека, филиал №4";"Библиотека, филиал №4. Централизованная библиотечная система Василеостровского района";"Семевская Галина Дмитриевна (Инна Игоревна Квактунова)";"199106, г.Санкт-Петербург, Средний проспект В.О., дом 99/18, литер А (Гаванская ул.,  д.18)";"352-51-58";"Вторник-Пятница 12.00 - 19.00. Суббота -11.00-18.00. Выходные дни - Воскресенье, Понедельник";"7801031500";"1037800059560";"";"";"";"Филиал";"";"";"199155, г.Санкт-Петербург, Морская набережная, дом 17, литер Д";"";"Централизованная библиотечная система Василеостровского района";"Приморская";"";"муниципальный округ №9"
"Василеостровский";"Библиотека, филиал №5";"Библиотека, филиал №5. Централизованная библиотечная система Василеостровского района";"Семевская Галина Дмитриевна (Лидия Валерьевна Городилова )";"199048, г.Санкт-Петербург, 16-я линия В.О., дом 65, литер А";"321-91-28";"Вторник - Пятница 12.00 - 19.00. Суббота - 11.00 - 18.00. Выходные дни - Воскресенье, Понедельник";"7801031500";"1037800059560";"";"";"";"Филиал";"";"";"199155, г.Санкт-Петербург, Морская набережная, дом 17, литер Д";"";"Централизованная библиотечная система Василеостровского района";"Василеостровская";"";"муниципальный округ Васильевский"
"Пушкинский";"Детская библиотека семейного чтения, филиал № 3";"Санкт-Петербургское государственное учреждение "Территориальная централизованная библиотечная система" Пушкинского района. Детская библиотека семейного чтения, филиал № 3";"Федоскина Елена Васильевна";"196600, Санкт-Петербург, город Пушкин, улица Вячеслава Шишкова, дом 32/15, литер А";"465-02-07, 465-00-58";"";"7820026954";"1027809012659";"";"v3puskin@ mail.ru";"http://www.cbspushkin.spb.ru";"Филиал";"Проект 2008";"";"196600, Санкт-Петербург, город Пушкин, Малая улица, дом 20, литер А";"";"Территориальная централизованная библиотечная система Пушкинского района";"";"";"город Пушкин"
"Пушкинский";"Библиотека пос. Александровская, филиал №7";"Санкт-Петербургское государственное учреждение "Территориальная централизованная библиотечная система" Пушкинского района. Библиотека пос. Александровская, филиал №7";"Бобина Вера Владимировна";"196631, Санкт-Петербург, поселок Александровская, Волхонское шоссе, дом 33, литер А";"451-36-10";"";"7820026954";"1027809012659";"";"push-f7@mail.ru";"http://www.cbspushkin.spb.ru";"Филиал";"";"";"196600, Санкт-Петербург, город Пушкин, Малая улица, дом 20, литер А";"";"Территориальная централизованная библиотечная система Пушкинского района";"";"";"поселок Александровская"
"Центральный";"Государственный музей "Смольный". Фонды и библиотека";"Санкт-Петербургское государственное учреждение культуры Историко-мемориальный музей "Смольный". Фонды и библиотека";"Тютчева Валентина Сергеевна";"193024, г.Санкт-Петербург, Херсонская улица, дом 5-7, литер Б";"576-7746";"";"7825453621";"1047844026933";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, улица Пролетарской Диктатуры, дом 3";"";"";"";"";"муниципальное образование Смольнинское"
"Центральный";"Театральная библиотека,";"Санкт-Петербургское государственное учреждение культуры "Санкт-Петербургская государственная театральная библиотека"";"Гай Анастасия Григорьевна (Павлова Анастасия Григорьевна)";"191011, г.Санкт-Петербург, площадь Островского, дом 6, литер А";"571-77-11, 312-03-11";"понедельник-пятница - 11.00 - 19.00, суббота - 11.00 - 18.00, воскресенье - выходной день";"7825405032";"1037843108104";"";"sptl@sptl.org";"http://www.sptl.org/";"Основное, есть филиал";"";"314-47-76";"191011, г.Санкт-Петербург, улица Зодчего Росси, дом 2, литер А";"";"Комитет по управлению городским имуществом";"Гостинный двор, Невский проспект";"";"муниципальный округ №78"
"Центральный";"Театральная библиотека, филиал";"Санкт-Петербургское государственное учреждение культуры "Санкт-Петербургская государственная театральная библиотека", филиал";"Гай Анастасия Григорьевна";"193130, г.Санкт-Петербург, 9-я Советская улица, дом 9/30, литер А";"312-03-11";"";"7825405032";"1037843108104";"";"";"http://www.sptl.org/";"Филиал";"";"";"191011, г.Санкт-Петербург, улица Зодчего Росси, дом 2, литер А";"";"Санкт-Петербургская государственная театральная библиотека";"";"В настоящее время в стадии ремонта.";"муниципальное образование Смольнинское"
"Василеостровский";"Библиотека им. Н.Островского (юношеская), филиал № 3";"Библиотека им. Н.Островского (юношеская), филиал № 3. Централизованная библиотечная система Василеостровского района";"Семевская Галина Дмитриевна (Галина Андреевна Пушко)";"199053, г.Санкт-Петербург, Кадетская линия В.О., дом 7/2, литер А";"323-56-28, 323-61-36";"Вторник-Пятница 12.00 - 19.00. Выходные дни - Суббота, Воскресенье";"7801031500";"1037800059560";"";"";"";"Филиал";"";"";"199155, г.Санкт-Петербург, Морская набережная, дом 17, литер Д";"";"Централизованная библиотечная система Василеостровского района";"Василеостровская";"";"муниципальный округ №7"
"Красногвардейский";"Детская библиотека №2";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Красногвардейского района". Детская библиотека №2";"Савинкова Валентина Петровна, тел. 444-92-51";"г.Санкт-Петербург, Заневский проспект, дом 28-30-32, литер А, пом. 10Н, (Заневский, дом 28)";"444-92-50";"понедельник – пятница: с 11.00 до 18.00, суббота: с 10.00 до 17.00 , вс-выходной, последний день месяца - санитарный";"7806115232";"1027804196694";"60";"";"http://www.kr-cbs.ru/libraries";"Филиал";"Есть";"";"195027, г.Санкт-Петербург, Среднеохтинский проспект, дом 8, литер А";"";"Централизованная библиотечная система Красногвардейского района";"Новочеркасская, Ладожская";"";"муниципальный округ №34 (Малая Охта)"
"Центральный";"Российская Национальная библиотека - филиал";"Российская Национальная библиотека - филиал. Дом Крылова.";"Зайцев Владимир Николаевич";"г.Санкт-Петербург, Садовая улица, дом 18-20, литер А";"310-96-76, 310-44-87";"";"7808036089";"1027809256672";"";"office@nlr.ru, excibition@nlr.";"www.nlr.ru";"Филиал";"";"";"Санкт-Петербург, Садовая ул, д. 18";"";"Российская Национальная библиотека";"Гостинный двор, Невский проспект";"";"муниципальный округ №78"
"Пушкинский";"Библиотека Пушкинского района, филиал № 11";"Санкт-Петербургское государственное учреждение "Территориальная централизованная библиотечная система" Пушкинского района, филиал № 11";"Быстрова Елена Михайловна";"196600, Санкт-Петербург, город Пушкин, Октябрьский бульвар, дом 1/5, литер А";"451-75-06";"";"7820026954";"1027809012659";"";"push-fil11@yandex.ru";"http://www.cbspushkin.spb.ru";"Филиал";"";"";"196600, Санкт-Петербург, город Пушкин, Малая улица, дом 20, литер А";"";"Территориальная централизованная библиотечная система Пушкинского района";"";"";"город Пушкин"
"Пушкинский";"Библиотека Пушкинского района";"Санкт-Петербургское государственное учреждение "Территориальная централизованная библиотечная система" Пушкинского района";"Быстрова Елена Михайловна";"196600, Санкт-Петербург, город Пушкин, Октябрьский бульвар, дом 24, литер А";"451-75-06";"";"7820026954";"1027809012659";"";"push-fil11@yandex.ru";"http://www.cbspushkin.spb.ru";"Филиал";"";"";"196600, Санкт-Петербург, город Пушкин, Малая улица, дом 20, литер А";"";"Территориальная централизованная библиотечная система Пушкинского района";"";"";"город Пушкин"
"Приморский";"Библиотека Приморского района, филиал №7";"Централизованная библиотечная система Приморского района Санкт-Петербуга, филиал №7";"Ефимова Антонина Александровна";"г.Санкт-Петербург, Вербная улица, дом 19, корпус 1, литер А";"430-21-30 (старый телефон)";"13.00-20.00, сб 10.00-17.00, вс-выходной, лето - сб и вс, последний день месяца - санитарный";"7814335640";"1067847150777";"";"fil7_cbs@mail.ru";"";"Филиал";"Проект 2008";"";"197348, г.Санкт-Петербург, Богатырский проспект, дом 9, литер А";"";"Централизованная библиотечная система Приморского района";"Пионерская";"Недавно переехала. Старый адрес: Приморский пр., д. 35, 430-21-30";"муниципальный округ Коломяги"
"Пушкинский";"Библиотека пос.Тярлево, филиал №8";"Санкт-Петербургское государственное учреждение "Территориальная централизованная библиотечная система" Пушкинского района. Библиотека пос.Тярлево, филиал №8";"Граховская Лариса Викторовна";"196625, Санкт-Петербург, поселок Тярлево, Новая улица, дом 1, литер А";"466-48-75";"";"7820026954";"1027809012659";"";"555glv@rambler.ru";"http://www.cbspushkin.spb.ru";"Филиал";"";"";"196600, Санкт-Петербург, город Пушкин, Малая улица, дом 20, литер А";"";"Территориальная централизованная библиотечная система Пушкинского района";"";"";"поселок Тярлево"
"Пушкинский";"Библиотека пос.Шушары, филиал №9";"Санкт-Петербургское государственное учреждение "Территориальная централизованная библиотечная система" Пушкинского района. Библиотека пос.Шушары, филиал №9";"Черткова Людмила Ивановна";"Санкт-Петербург, поселок Шушары, Школьная улица, дом 5, литер А";"382-75-54";"";"7820026954";"1027809012659";"";"";"http://www.cbspushkin.spb.ru";"Филиал";"";"";"196600, Санкт-Петербург, город Пушкин, Малая улица, дом 20, литер А";"";"Территориальная централизованная библиотечная система Пушкинского района";"";"";"поселок Шушары"
"Выборгский";"Библиотека Выборгского района, филиал №5";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Выборгского района", филиал №5";"Лукманова Ирина Яковлевна";"Санкт-Петербург, поселок Парголово, Выборгское шоссе, дом 369, корпус 3, литер А, здание школы № 474";"594-83-87";"С11-19, суббота и воскресенье 12-17, понедельник – выходной";"7802207443";"1037804023278";"";"";"http://www.cbs-vib.ru/libraries/";"Филиал";"";"";"194156, г.Санкт-Петербург, проспект Энгельса, дом 13/2, литер Л";"";"Централизованная библиотечная система Выборгского района";"";"";"поселок Парголово"
"Адмиралтейский";"Библиотека ""Измайловская"", филиал № 6";"Санкт-Петербургское государственное учреждение культуры ""Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова"". Библиотека ""Измайловская"", филиал №6";"Серейчик Сергей Станиславович";"198005, г.Санкт-Петербург, Измайловский проспект, дом 16/30, литер А, (Измайловский пр., д.18)";"251-12-43, 251-53-98";"13.00-20.00, 11.00-18.00 - вс, выходной - сб, последний день месяца - санитарный. лето: сб и вс выходные.";"7825132699";"1037843110832";"";"";"http://www.lplib.ru/about/putevod/6/";"Филиал";"";"251-53-98";"191028, г.Санкт-Петербург, Литейный проспект, дом 17-19, литер А";"";"Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова";"";"";"муниципальное образование Измайловское"
"Колпинский";"Центральная библиотека им. М.Светлова";"Санкт-Петербургское государственное учреждение ""Централизованная библиотечная система Колпинского административного района Санкт-Петербурга"". Центральная районная библиотека им. М.Светлова";"Калинкина Мария Викторовна";"196653, Санкт-Петербург, город Колпино, улица Веры Слуцкой, дом 32, литер А";"469-50-90, 469-52-20, 481-41-60";"12.00-19.00, вс: абонемент выходной, читальный зал 10.00-17.00, последняя пт месяца - санитарный день";"7817016593";"1027808760660";"170";"";"";"Основное, есть филиал";"";"";"196653, Санкт-Петербург, город Колпино, улица Веры Слуцкой, дом 32, литер А";"";"Комитет по культуре";"";"";"город Колпино"
"Центральный";"Библиотека института истории материальной культуры РАН";"Библиотека института истории материальной культуры РАН";"Всевиов Лев Михайлович";"191186, г.Санкт-Петербург, Дворцовая набережная, дом 18, литер А";"311-81-92";"11.00 - 18.00, выходные - сб, вс";"7825004658";"1027809188527";"";"admin@archeo.ru, pharc@mail.ru";"http://biblioteka-instituta-istorii.spb24.net/";"Филиал";"";"311-62-71, 571-81-92";"Санкт-Петербург, Дворцовая наб, д. 18";"";"Учреждение Российской академии наук Институт истории материальной культуры РАН";"Невский проспект, Гостинный двор";"";"муниципальное образование Дворцовый округ"
"Красногвардейский";"Библиотека «Пороховская»";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Красногвардейского района". Библиотека «Пороховская»";"Кулинченко Любовь Валентиновна";"195030, г.Санкт-Петербург, улица Лазо, дом 8, корпус 1, литер А";"527-51-93, 526-72-54";"12.00-19.00, сб 11.00-18.00, вс - выходной, последний чт месяца - санитарный день";"7806115232";"1027804196694";"50";"porohov4anka@rambler.ru";"http://www.kr-cbs.ru/libraries";"Филиал";"Есть";"526-72-54";"195027, г.Санкт-Петербург, Среднеохтинский проспект, дом 8, литер А";"";"Централизованная библиотечная система Красногвардейского района";"";"";"муниципальный округ №36 (Ржевка)"
"Красногвардейский";"Центральная районная детская библиотека";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Красногвардейского района". Центральная районная детская библиотека";"Кишко Екатерина Чеславовна";"195426, г.Санкт-Петербург, Индустриальный проспект, дом 15, литер А";"524-08-47";"понедельник, среда, пятница, суббота: с 11.00 до 18.00, вторник, четверг: с 12.00 до 19.00, суббота: с 11.00 до 18.00, воскресенье - выходной день";"7806115232";"1027804196694";"80";"";"http://www.kr-cbs.ru/libraries";"Филиал";"";"";"195027, г.Санкт-Петербург, Среднеохтинский проспект, дом 8, литер А";"";"Централизованная библиотечная система Красногвардейского района";"Ладожская";"";"муниципальный округ №35 (Пороховые)"
"Красногвардейский";"Детская библиотека №1";"Санкт-Петербургское государственное учрездение культуры "Централизованная библиотечная система Красногвардейского района". Детская библиотека №1";"Полякова Екатерина Викторовна";"г.Санкт-Петербург, проспект Косыгина, дом 28, корпус 1, литер А";"524-04-79, 521-85-46";"понедельник, среда, пятница: с 12.00 до 19.00, вторник, четверг: с 11.00 до 18.00, суббота: с 10.00 до 17.00, воскресенье - выходной день";"7806115232";"1027804196694";"80";"";"http://www.kr-cbs.ru/libraries/";"Филиал";"Есть";"";"195027, г.Санкт-Петербург, Среднеохтинский проспект, дом 8, литер А";"";"Централизованная библиотечная система Красногвардейского района";"";"";"муниципальный округ №36 (Ржевка)"
